id,status,milestone,priority,title,description,area,category,files,verification,blocked_by,commit
1,done,Unreleased,high,Wizard generate step intermittently unreliable,"Mitigated by the Tailwind CSS migration: the wizard's document generation now authors Tailwind classes inline during structure generation instead of a separate CSS-rules-writing phase, and the second AI call only sets styles.variables (brand palette) instead of a full CSS-rules object - much shorter total output, lower truncation/omission risk. Verified: the editor-transform happy-path test (which hits the real configured AI_PROVIDER, not a mock) went from failing on live model runs before the prompt rewrite to 4/4 passes after. Residual variance remains possible if the live model picks Tailwind syntax outside the allowlist's scope (e.g. arbitrary-value shadow colors) - that surfaces as a normal invalid_operations rejection, same as any other allowlist miss, not a truncation failure.",ai_wizard,reliability,apps/ai_assistant/wizard_service.py;apps/ai_assistant/prompts.py;apps/ai_assistant/views.py,pytest;manual_live_model_verification,none,7762ba5
3,done,Unreleased,low,Expand CSS property allowlist as real templates need it,"Superseded by the Tailwind CSS migration: CSS_PROPERTY_ALLOWLIST is no longer the primary styling allowlist for new content (Tailwind_classes.py's finite class allowlist is). CSS_PROPERTY_ALLOWLIST and styles.rules validation remain fully functional and tested for backward compatibility with pre-migration documents, so this item is no longer open-ended for new content. The equivalent ongoing-maintenance item going forward is Tailwind class allowlist coverage, tracked implicitly via apps/ai_assistant/tailwind_classes.py.",ai_security,tech_debt,apps/ai_assistant/sanitize.py;apps/ai_assistant/tailwind_classes.py,pytest,none,7dbeb8c
4,done,Unreleased,low,Extract shared SSE/reasoning-display module,"Moved SSE buffering, terminal event collection, and live reasoning-bubble filtering into static/shared/ai-stream.js; editor-ai.js and template-wizard.js now provide only surface-specific status and scroll callbacks. Explicitly completed before a third consumer because the shared API is isolated and covered by a Node regression.",frontend_ai_panel,tech_debt,static/shared/ai-stream.js;static/editor/template-wizard.js;static/editor/editor-ai.js;templates/editor/editor.html;templates/editor/template_wizard.html;tests/js/ai-stream.test.js,node_test;playwright_e2e,none,
5,done,Unreleased,medium,Image upload for the wizard,"POST /api/user-templates/wizard-images/ (WizardImageUploadView) - Pillow re-encodes every upload from scratch (format/size validated, downscaled to 1600px long edge, always re-saved as JPEG, stripping EXIF), owner-scoped UploadedAsset model, per-user upload cap. Registered in state.assets, but never AI-authored: wizard_service.py builds assets server-side from exactly what the client already uploaded, and the model only picks a URL from that list to put in <img src>. document_validation.py validates the shape regardless (check_asset_entry, url must be under /media/). Minimal wizard UI (file input + thumbnail strip) wired into the existing question-form step.",ai_wizard,feature,apps/editor/image_processing.py;apps/editor/models.py;apps/editor/views.py;apps/editor/serializers.py;apps/editor/api_urls.py;apps/ai_assistant/sanitize.py;apps/ai_assistant/document_validation.py;apps/ai_assistant/wizard_service.py;apps/ai_assistant/serializers.py;static/editor/template-wizard.js;config/settings/base.py;config/urls.py,pytest;playwright_e2e,none,ac75c39
6,done,Unreleased,low,styles.rules gained @media support,"editor-core.js's buildCss() already rendered styles.mediaQueries (dead code, never populated) and it was completely unvalidated on the Python side - a latent CSS-injection gap. Fixed both at once: document_validation.py now validates styles.mediaQueries (allowlisted query string via check_css_media_query, nested rules reuse the same selector/declarations checks); the wizard styles prompt now tells the AI it can use it. Scope: only covers wizard full-document generation, not the editor's incremental AI-transform.",ai_security,security_fix,apps/ai_assistant/sanitize.py;apps/ai_assistant/document_validation.py;apps/ai_assistant/prompts.py;apps/editor/rendering.py,pytest,none,9af3aab
7,done,Unreleased,low,Structured request logging/metrics for AI usage and error rates,"apps/ai_assistant/usage_logging.py logs one logfmt line (ai_usage scope=... user=... outcome=... duration_ms=...) per SSE request across all 4 AI endpoints (transform + 3 wizard views), greppable/parseable without a new metrics dependency. Bonus: the wizard views had the same uncaught-exception gap as the transform 500 fix - added the same except Exception catch-all there too.",ai_observability,feature,apps/ai_assistant/usage_logging.py;apps/ai_assistant/views.py;apps/ai_assistant/wizard_views.py,pytest,none,d28f449
8,done,Unreleased,medium,Registration flow,"SignupView uses Django's stdlib UserCreationForm - no custom fields, no new dependency - logs the new user in immediately and redirects to the editor, same as login. /signup/ linked from login.html.",accounts,feature,apps/accounts/views.py;apps/accounts/urls.py;templates/registration/signup.html;templates/registration/login.html,pytest;playwright_e2e,none,a0704cc
9,done,Unreleased,medium,Autosave projects,"?p=<uuid> now loads a Project in the editor (latest ProjectRevision if one exists, else the project's own state). editor-core.js dispatches vjpb:state-committed whenever a history snapshot lands; static/editor/autosave.js listens, debounces 3s, and POSTs /api/projects/{id}/revisions/. Added the same revision-retention cap (20) to apps/projects/views.py that UserTemplate already has.",editor_core,feature,apps/editor/views.py;apps/projects/views.py;static/editor/editor-core.js;static/editor/autosave.js;templates/editor/editor.html,pytest;playwright_e2e,none,b18d46d
10,done,Unreleased,medium,Template thumbnails,"Server-side mini-render (apps/editor/rendering.py) walks state.document.body + state.styles into a standalone HTML doc, shown scaled 0.25x in a pointer-events:none <iframe srcdoc> on each gallery card. No new deps, no headless browser at request time. Falls back to the first-letter avatar when state is null/empty.",gallery,feature,apps/editor/rendering.py;apps/editor/models.py;templates/editor/home.html;templates/editor/gallery.html,pytest;playwright_e2e,none,f6c97de
11,done,Unreleased,medium,Event-driven selection in the AI panel,"400ms poll replaced: core dispatches vjpb:selection-change on the preview document from highlightSelectedPreviewElement; editor-ai.js listens for it, rebinding on iframe load since srcdoc reload replaces contentDocument.",frontend_ai_panel,performance,static/editor/editor-core.js;static/editor/editor-ai.js,playwright_e2e,none,302e806
12,done,Unreleased,medium,"Non-modal AI preview (investigated, was dead code)","Investigated: this backlog item described dead code, not the shipped UX. The real flow auto-applies AI changes immediately (commitProposal, one undo step) with a post-hoc Descartar button - no live preview stage existed where a manual edit could be lost. The previewProposal/cancelProposal/__aiPreviewBackup skeleton was never wired up; removed as dead code.",editor_core,tech_debt_removal,static/editor/editor-core.js,pytest;playwright_e2e,none,b15616f
13,done,Unreleased,medium,Frontend test runner,pnpm test runs node --test tests/js/**/*.test.js (package.json); wired into .github/workflows/ci.yml.,testing_infra,infra,package.json;.github/workflows/ci.yml,node_test,none,302e806
14,done,Unreleased,low,CI pipeline,"GitHub Actions running ruff, pytest, the Node test, and a Docker build (Postgres 16 service, uv + Node setup). Repo is now a git repo (main branch, local); push to GitHub to activate it.",testing_infra,infra,.github/workflows/ci.yml,docker_build_local,needs_github_remote_to_actually_run,0ed6f63
15,done,Unreleased,low,Cap/prune UserTemplate revisions,REVISION_RETENTION_LIMIT = 20 in apps/editor/views.py; each update prunes to the N most recent right after snapshotting.,editor_data,feature,apps/editor/views.py,pytest,none,add72e5
16,done,Unreleased,low,Per-object rate limiting on AI transform endpoint,"Verified already true: DRF's ScopedRateThrottle.get_cache_key keys on request.user.pk when authenticated, so it was already per-user, not one shared bucket for the whole scope. Added test_rate_limit_is_isolated_per_user to lock the guarantee in.",ai_security,verification_only,tests/test_ai_transform.py,pytest,none,cfeff30
17,done,Unreleased,high,Root-caused and fixed the AI transform 500,EditorTransformView's stream generator only caught 3 known exception types; anything else crashed uncaught. Added a final except Exception that logs the traceback and yields a distinct unexpected_error SSE event.,ai_editor,bugfix,apps/ai_assistant/views.py,pytest,none,302e806
18,done,Unreleased,,AI-guided template wizard (/wizard/),"Chat kickoff, dynamic question form, review/clarification loop, two-phase document generation (structure then styles), save via existing /api/user-templates/. 'En blanco' base template removed in favor of this flow.",ai_wizard,feature,apps/ai_assistant/wizard_service.py;static/editor/template-wizard.js,pytest,none,302e806
19,done,Unreleased,,Streaming AI responses (SSE),"event: reasoning chunks + terminal done/error, live sentence-by-sentence reasoning display in both the editor assistant and the wizard.",ai_editor,feature,apps/ai_assistant/sse.py;static/editor/editor-ai.js,pytest,none,302e806
